location_name,location_id,count,day,day_of_year,day_of_week,MaxTemp,MeanTemp,MinTemp,SnowonGrndcm,TotalPrecipmm,TotalRainmm,TotalSnowcm
ALEX,2,0,0,0,4.0,-2.5,-4.1,-5.7,18.0,5.0,0.0,7.6
COBY,3,0,0,0,4.0,-2.5,-4.1,-5.7,18.0,5.0,0.0,7.6
ORPY,10,0,0,0,4.0,-2.5,-4.1,-5.7,18.0,5.0,0.0,7.6
ALEX,2,0,1,1,5.0,-11.9,-13.3,-14.6,21.0,1.9,0.0,2.6
COBY,3,0,1,1,5.0,-11.9,-13.3,-14.6,21.0,1.9,0.0,2.6
ORPY,10,0,1,1,5.0,-11.9,-13.3,-14.6,21.0,1.9,0.0,2.6
ALEX,2,0,2,2,6.0,-7.8,-11.4,-15.0,21.0,2.0,0.0,3.0
COBY,3,0,2,2,6.0,-7.8,-11.4,-15.0,21.0,2.0,0.0,3.0
ORPY,10,0,2,2,6.0,-7.8,-11.4,-15.0,21.0,2.0,0.0,3.0
ALEX,2,0,3,3,0.0,-7.5,-9.0,-10.5,21.0,1.0,0.0,2.0
COBY,3,0,3,3,0.0,-7.5,-9.0,-10.5,21.0,1.0,0.0,2.0
ORPY,10,0,3,3,0.0,-7.5,-9.0,-10.5,21.0,1.0,0.0,2.0
ALEX,2,0,4,4,1.0,-5.0,-7.8,-10.6,21.0,1.0,0.0,1.5
COBY,3,0,4,4,1.0,-5.0,-7.8,-10.6,21.0,1.0,0.0,1.5
ORPY,10,0,4,4,1.0,-5.0,-7.8,-10.6,21.0,1.0,0.0,1.5
ALEX,2,0,5,5,2.0,-6.0,-6.6,-7.1,21.0,0.2,0.0,0.2
COBY,3,0,5,5,2.0,-6.0,-6.6,-7.1,21.0,0.2,0.0,0.2
ORPY,10,0,5,5,2.0,-6.0,-6.6,-7.1,21.0,0.2,0.0,0.2
ALEX,2,0,6,6,3.0,-6.0,-7.9,-9.7,20.0,0.0,0.0,0.4
COBY,3,0,6,6,3.0,-6.0,-7.9,-9.7,20.0,0.0,0.0,0.4
ORPY,10,0,6,6,3.0,-6.0,-7.9,-9.7,20.0,0.0,0.0,0.4
ALEX,2,0,7,7,4.0,-8.6,-9.8,-11.0,21.0,0.0,0.0,0.0
COBY,3,0,7,7,4.0,-8.6,-9.8,-11.0,21.0,0.0,0.0,0.0
ORPY,10,0,7,7,4.0,-8.6,-9.8,-11.0,21.0,0.0,0.0,0.0
ALEX,2,0,8,8,5.0,-11.3,-14.4,-17.5,20.0,0.0,0.0,0.0
COBY,3,0,8,8,5.0,-11.3,-14.4,-17.5,20.0,0.0,0.0,0.0
ORPY,10,0,8,8,5.0,-11.3,-14.4,-17.5,20.0,0.0,0.0,0.0
ALEX,2,0,9,9,6.0,-5.3,-11.1,-16.8,18.0,0.0,0.0,0.0
COBY,3,0,9,9,6.0,-5.3,-11.1,-16.8,18.0,0.0,0.0,0.0
ORPY,10,0,9,9,6.0,-5.3,-11.1,-16.8,18.0,0.0,0.0,0.0
ALEX,2,0,10,10,0.0,-2.8,-6.6,-10.3,18.0,0.0,0.0,0.0
COBY,3,0,10,10,0.0,-2.8,-6.6,-10.3,18.0,0.0,0.0,0.0
ORPY,10,0,10,10,0.0,-2.8,-6.6,-10.3,18.0,0.0,0.0,0.0
ALEX,2,0,11,11,1.0,-9.6,-10.6,-11.6,18.0,0.0,0.0,0.0
