Year,State,Age Group (Years),State Rate,State Births,U.S. Births,U.S. Birth Rate,Unit
1990,Alabama,15-17 years,47.4,4222,183327,37.5,"per 1,000"
1990,Alaska,15-17 years,31.2,335,183327,37.5,"per 1,000"
1990,Arizona,15-17 years,47.7,3436,183327,37.5,"per 1,000"
1990,Arkansas,15-17 years,50.4,2549,183327,37.5,"per 1,000"
1990,California,15-17 years,44.6,24880,183327,37.5,"per 1,000"
1990,Colorado,15-17 years,33.1,2061,183327,37.5,"per 1,000"
1990,Connecticut,15-17 years,26.4,1519,183327,37.5,"per 1,000"
1990,Delaware,15-17 years,38.4,462,183327,37.5,"per 1,000"
1990,District of Columbia,15-17 years,88.4,841,183327,37.5,"per 1,000"
1990,Florida,15-17 years,44.9,9918,183327,37.5,"per 1,000"
1990,Georgia,15-17 years,50.1,6878,183327,37.5,"per 1,000"
1990,Hawaii,15-17 years,32.5,661,183327,37.5,"per 1,000"
1990,Idaho,15-17 years,26.3,611,183327,37.5,"per 1,000"
1990,Illinois,15-17 years,40.1,9067,183327,37.5,"per 1,000"
1990,Indiana,15-17 years,35.3,4130,183327,37.5,"per 1,000"
1990,Iowa,15-17 years,20.4,1120,183327,37.5,"per 1,000"
1990,Kansas,15-17 years,30.4,1449,183327,37.5,"per 1,000"
1990,Kentucky,15-17 years,40.8,3204,183327,37.5,"per 1,000"
1990,Louisiana,15-17 years,49.5,4653,183327,37.5,"per 1,000"
1990,Maine,15-17 years,23.3,570,183327,37.5,"per 1,000"
1990,Maryland,15-17 years,33.5,2866,183327,37.5,"per 1,000"
1990,Massachusetts,15-17 years,23.7,2502,183327,37.5,"per 1,000"
1990,Michigan,15-17 years,36,7007,183327,37.5,"per 1,000"
1990,Minnesota,15-17 years,19.9,1650,183327,37.5,"per 1,000"
1990,Mississippi,15-17 years,57.5,3544,183327,37.5,"per 1,000"
1990,Missouri,15-17 years,39.3,3941,183327,37.5,"per 1,000"
1990,Montana,15-17 years,24,399,183327,37.5,"per 1,000"
1990,Nebraska,15-17 years,23,728,183327,37.5,"per 1,000"
1990,Nevada,15-17 years,42.5,889,183327,37.5,"per 1,000"
1990,New Hampshire,15-17 years,17.1,348,183327,37.5,"per 1,000"
1990,New Jersey,15-17 years,24.4,3494,183327,37.5,"per 1,000"
1990,New Mexico,15-17 years,46.9,1560,183327,37.5,"per 1,000"
1990,New York,15-17 years,27.5,9260,183327,37.5,"per 1,000"
